GYY 兹加哥
HAR 哈里斯堡
HCR 霍利克罗斯
HFD 哈特福德
HGR 黑格斯敦
HIB 希滨
HLN 海伦娜
HNL 火奴鲁鲁
HNM 哈纳
HOB 霍布斯
HOM 何马
HON 休伦
HOT 温泉城
HOU 侯斯顿
HRL 哈灵顿
HSH 拉斯韦加斯
HSI 黑斯廷斯
HTS 享廷顿
HUF 特雷纳特
HVR 哈佛
IAD 华盛顿
IAH 侯斯顿
IBR 琼斯伯勒
ICT 威奇托
IDA 爱达福尔斯
IGM 金曼
IMT 艾恩芒廷
IPT 威廉斯
IRK 柯克斯维尔
ISN 威利斯顿
ISP 长岛
ITO 希洛
IWD 艾恩伍德
JAC 杰克逊
JAN 杰克逊
JAX 杰克逊维尔
JFK 纽约
JGC 大峡谷
JHW 詹姆斯敦
JMS 詹姆斯敦
JNU 朱诺
JST 约翰斯顿
KPV 佩里维尔
KTN 凯奇坎
LAA 拉马尔
LAF 拉斐特
LAN 兰辛
LAR 拉勒米
LAS 拉斯维加斯
LAW 劳顿
LAX 洛杉机
LBB 拉伯克
LBF 北普拉特
LBL 利伯勒尔
LCH 莱克查尔斯
LEB 黎巴嫩
LFT 拉斐特
LGA 纽约
LGB 长滩
LIH 考爱岛
LIT 小石城
LNS 兰开斯特
LNY 拉奈
LRD 拉雷多
LWT 刘易斯顿
LYH 林奇堡
LYU 伊利
MAF 米德兰
MBL 马尼斯蒂
MBS 萨吉诺
MCG 麦格拉斯
MCI 堪萨斯城
MCK 麦库克
MCN 梅肯
MCO 奥兰多
MDT 哈里斯堡
MDW 芝加哥
MEI 默里迪恩
MEM 孟菲斯
MFR 梅德福
MGM 蒙哥玛利
MHE 米切尔
MHT 曼彻斯特
MIA 迈阿密
MIE 曼西
MKC 堪萨斯城
MKE 密沃基
MKG 马斯基根
MKL 杰克逊
MLB 墨尔本
MLI 莫林
MLL 马绍尔
MLS 迈尔斯城
MLU 门罗
MOT 迈诺特
MPB 迈亚美
MQT 马凯特
MRY 蒙特雷
MSN 麦迪逊
MSO 米苏拉
MSY 新奥尔良
MTO 马顿
MWA 马里恩
MWH 摩西莱克
NNK 纳克内克
NYC 纽约
OAG 奥兰治
OAJ 杰克逊维尔
OAK 奥克兰
OFK 诺克福
OGS 奥格登斯堡
OKC 俄克拉何马
OMA 奥马哈
OME 诺姆
ONT 安大略
ORD 芝加哥
ORF 诺克福
ORH 伍斯特
ORL 奥兰多
OSH 奥科什科
OTZ 科策布
PBI 帕姆
PDT 彭德尔顿
PDX 波特兰
PFN 巴拿马城
